Program Code,Program,seq,PSLOID,Program Outcome
AST_CHE,"Chemistry, Associate in Science Degree for Transfer",3,AST_CHE_PSLO3,"Communicate chemical concepts effectively in written and/or oral forms and locate, select and evaluate scientific information present in primary research literature, mass media, online or other sources."
AAT_CAD,"Child and Adolescent Development, Associate in Arts Degree for Transfer",1,AAT_CAD_PSLO1,Will be eligible (with appropriate GPA) for seamless transfer into the CSU system to pursue a baccalaureate degree in Child and Adolescent Development or related major.
AAT_CAD,"Child and Adolescent Development, Associate in Arts Degree for Transfer",2,AAT_CAD_PSLO2,"Will be able to apply major concepts of child adolescent development, education, and family theory in order to work in programs aimed at supporting children and families. "
AAT_CAD,"Child and Adolescent Development, Associate in Arts Degree for Transfer",3,AAT_CAD_PSLO3,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed and/or to continue study in the interdisciplinary field of child/adolescent development."
AAT_COM2,"Communication Studies 2.0, Associate in Arts Degree for Transfer",1,AAT_COM2_PSLO1,"Use written and oral tools to analyze and improve communication in personal, academic, public, and professional interactions. "
AAT_COM2,"Communication Studies 2.0, Associate in Arts Degree for Transfer",2,AAT_COM2_PSLO2,Effectively deliver oral presentations in a range of settings to diverse audiences.
AAT_COM2,"Communication Studies 2.0, Associate in Arts Degree for Transfer",3,AAT_COM2_PSLO3,Construct written messages for various purposes to diverse audiences.
AAT_COM2,"Communication Studies 2.0, Associate in Arts Degree for Transfer",4,AAT_COM2_PSLO4,"Observe, evaluate, and competently exercise interpersonal communication skills."
AA_COM,"Communication Studies, Associate of Arts Degree",1,AA_COM_PSLO1,"Use written and oral tools to analyze and improve communication in personal, academic, public, and professional interactions."
AA_COM,"Communication Studies, Associate of Arts Degree",2,AA_COM_PSLO2,Effectively deliver oral presentations in a range of settings to diverse audiences. 
AA_COM,"Communication Studies, Associate of Arts Degree",3,AA_COM_PSLO3,Construct written messages for various purposes to diverse audiences. 
AA_COM,"Communication Studies, Associate of Arts Degree",4,AA_COM_PSLO4,"Observe, evaluate, and competently exercise interpersonal communication skills."
AS_CIS,"Computer Information Systems, Associate of Science Degree",1,AS_CIS_PSLO1,"Apply the methods, techniques, and tools relevant to computer systems, software development, and information technology."
AS_CIS,"Computer Information Systems, Associate of Science Degree",2,AS_CIS_PSLO2,Describe the ethical and legal considerations related to technology and data management.
AS_CIS,"Computer Information Systems, Associate of Science Degree",3,AS_CIS_PSLO3,Demonstrate the ability to align technology solutions with organizational goals.
AS_CIS,"Computer Information Systems, Associate of Science Degree",4,AS_CIS_PSLO4,Select appropriate resources to continuously adapt to evolving technology and business environments.
CA_CIS,"Computer Information Systems, Certificate of Achievement",1,CA_CIS_PSLO1,"Apply the methods, techniques, and tools relevant to computer systems, software development, and information technology."
CA_CIS,"Computer Information Systems, Certificate of Achievement",2,CA_CIS_PSLO2,Describe the ethical and legal considerations related to technology and data management.
CA_CIS,"Computer Information Systems, Certificate of Achievement",3,CA_CIS_PSLO3,Demonstrate the ability to align technology solutions with organizational goals.
CA_CIS,"Computer Information Systems, Certificate of Achievement",4,CA_CIS_PSLO4,Select appropriate resources to continuously adapt to evolving technology and business environments.
CC_CAB,"Creative Arts Basics, Certificate of Completion",1,CC_CAB_PSLO1,"Demonstrate the skills and experience required to take part in basic art, music, and theater vocational activities."
CC_CAB,"Creative Arts Basics, Certificate of Completion",2,CC_CAB_PSLO2,"Independently recall and perform best practices while participating in creative (art, music and theater) work activities alone or with faculty, managers, staff, students or customers."
CC_CUA,"Culinary Arts, Certificate of Completion",1,CC_CUA_PSLO1,Demonstrate skills and experience required to take part in basic culinary activities.
CC_CUA,"Culinary Arts, Certificate of Completion",2,CC_CUA_PSLO2,"Independently recall and perform best practices while participating in work activities alone or with faculty, managers, staff, students, and customers."
CC_CUA,"Culinary Arts, Certificate of Completion",3,CC_CUA_PSLO3,Become ServSafe certified.
CC_CSL1,"Customer Service Technology Level 1, Certificate of Completion",1,CC_CSL1_PSLO1,"Based on a typical business scenario, use Microsoft Windows to organize, retrieve, and manipulate digital data stored on a computer."
CC_CSL1,"Customer Service Technology Level 1, Certificate of Completion",2,CC_CSL1_PSLO2,"Using the touch-type method of keyboarding, with appropriate techniques, type at least 38 words per minute proficiently."
